lead_id,action,channel,priority_score,status,timestamp
L0321,counsellor_followup,call,6,answered,2026-01-28 01:24:41.481830
L0336,counsellor_followup,call,6,answered,2026-01-28 01:24:41.481830
L0143,counsellor_followup,call,6,answered,2026-01-28 01:24:41.483341
L0156,counsellor_followup,call,6,missed,2026-01-28 01:24:41.484856
L0218,counsellor_followup,call,6,missed,2026-01-28 01:24:41.484856
L0226,counsellor_followup,call,6,missed,2026-01-28 01:24:41.484856
L0124,counsellor_followup,call,6,answered,2026-01-28 01:24:41.485709
L0125,counsellor_followup,call,6,missed,2026-01-28 01:24:41.485709
L0014,counsellor_followup,call,6,missed,2026-01-28 01:24:41.485709
L0015,counsellor_followup,call,6,answered,2026-01-28 01:24:41.485709
L0081,counsellor_followup,call,6,missed,2026-01-28 01:24:41.485709
L0088,counsellor_followup,call,6,answered,2026-01-28 01:24:41.486844
L0105,counsellor_followup,call,6,answered,2026-01-28 01:24:41.487979
L0256,counsellor_followup,call,6,missed,2026-01-28 01:24:41.487979
L0266,counsellor_followup,call,6,answered,2026-01-28 01:24:41.489067
L0410,counsellor_followup,call,6,missed,2026-01-28 01:24:41.489067
L0393,counsellor_followup,call,6,missed,2026-01-28 01:24:41.489067
L0404,counsellor_followup,call,6,missed,2026-01-28 01:24:41.494366
L0250,counsellor_followup,call,6,missed,2026-01-28 01:24:41.495382
L0252,counsellor_followup,call,6,missed,2026-01-28 01:24:41.496456
L0254,counsellor_followup,call,6,answered,2026-01-28 01:24:41.501614
L0295,counsellor_followup,call,6,answered,2026-01-28 01:24:41.501614
L0420,counsellor_followup,call,6,answered,2026-01-28 01:24:41.502726
L0447,counsellor_followup,call,6,missed,2026-01-28 01:24:41.502726
L0478,counsellor_followup,call,6,answered,2026-01-28 01:24:41.503735
L0496,counsellor_followup,call,6,missed,2026-01-28 01:24:41.504256
L0217,soft_reengagement,whatsapp,5,sent,2026-01-28 01:24:41.505274
L0172,soft_reengagement,whatsapp,5,sent,2026-01-28 01:24:41.505656
L0173,soft_reengagement,whatsapp,5,sent,2026-01-28 01:24:41.507278
L0098,soft_reengagement,whatsapp,5,sent,2026-01-28 01:24:41.510451
